name,dex_num,date,shiny,costume,event,form,location,Lat,type_1,type_2,box,size,evolved,traded,hatched,research,Shadow,remote raid,Has IRL loc
sableye,302,07/26/2020,TRUE,,Go Fest,,"New Canaan, CT","41.146763,-73.4948445",Dark,Ghost,,,FALSE,FALSE,FALSE,,,,
tangrowth,465,07/26/2020,TRUE,,Go Fest,,"New Canaan, CT","41.146763,-73.4948445",Grass,,,,TRUE,FALSE,FALSE,,,,
sableye,302,07/26/2020,TRUE,,Go Fest,,"New Canaan, CT","41.146763,-73.4948445",Dark,Ghost,,,FALSE,FALSE,FALSE,,,,
exeggutor (alolan),103.1,07/26/2020,TRUE,,Go Fest,Alolan Form,"New Canaan, CT","41.146763,-73.4948445",Grass,Dragon,,,TRUE,FALSE,FALSE,,,,
chansey,113,07/26/2020,TRUE,,Go Fest,,"Norwalk, CT","41.11774399999999,-73.4081575",Normal,,,,FALSE,FALSE,FALSE,,,,
Marowak (alolan),105.1,07/26/2020,TRUE,,Go Fest,Alolan Form,"Norwalk, CT","41.11774399999999,-73.4081575",Fire,Ghost,,,TRUE,FALSE,FALSE,,,,
sableye,302,07/26/2020,TRUE,,Go Fest,,"Norwalk, CT","41.11774399999999,-73.4081575",Dark,Ghost,,,FALSE,FALSE,FALSE,,,,
seviper,336,07/26/2020,TRUE,,Go Fest,,"New Canaan, CT","41.146763,-73.4948445",Poison,,,,FALSE,FALSE,FALSE,,,,
treecko,252,07/26/2020,TRUE,,Go Fest,Starter,"New Canaan, CT","41.146763,-73.4948445",Grass,,,,FALSE,FALSE,FALSE,,,,
treecko,252,08/01/2020,TRUE,,n/a,Starter,"Fairfield, CT","41.1408363,-73.2612615",Grass,,,,FALSE,FALSE,FALSE,,,,
rayquaza,384,08/03/2020,TRUE,,n/a,Legendary,"Darien, CT","41.0771914,-73.4686858",Dragon,Flying,,,FALSE,FALSE,FALSE,,,,
magikarp,129,08/08/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Water,,,,FALSE,FALSE,FALSE,,,,
magikarp,129,08/08/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Water,,,,FALSE,FALSE,FALSE,,,,
magikarp,129,08/08/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Water,,,,FALSE,FALSE,FALSE,,,,
magikarp,129,08/08/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Water,,,,FALSE,FALSE,FALSE,,,,
magikarp,129,08/08/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Water,,,,FALSE,FALSE,FALSE,,,,
magikarp,129,08/08/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,,,FALSE,FALSE,FALSE,,,,
magikarp,129,08/08/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,,,FALSE,FALSE,FALSE,,,,
magikarp,129,08/08/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,,,FALSE,FALSE,FALSE,,,,
magikarp,129,08/08/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,,,FALSE,FALSE,FALSE,,,,
magikarp,129,08/08/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,,,FALSE,FALSE,FALSE,,,,
magikarp,129,08/08/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,,,FALSE,FALSE,FALSE,,,,
magikarp,129,08/08/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,,,FALSE,FALSE,FALSE,,,,
magikarp,129,08/08/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,,,FALSE,FALSE,FALSE,,,,
magikarp,129,08/08/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,,,FALSE,FALSE,FALSE,,,,
gyarados,130,08/08/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,Flying,,,TRUE,FALSE,FALSE,,,,
gyarados,130,08/08/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,Flying,,,TRUE,FALSE,FALSE,,,,
gyarados,130,08/08/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,Flying,,,TRUE,FALSE,FALSE,,,,
gyarados,130,08/08/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,Flying,,,TRUE,FALSE,FALSE,,,,
gyarados,130,08/08/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Water,Flying,,,TRUE,FALSE,FALSE,,,,
gyarados,130,08/08/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Water,Flying,,,TRUE,FALSE,FALSE,,,,
solrock,338,08/08/2020,TRUE,,n/a,,"New Canaan, CT","41.146763,-73.4948445",Rock,Psychic,,,FALSE,FALSE,FALSE,,,,
bronzor,436,08/09/2020,TRUE,,n/a,,"Norwalk, CT","41.11774399999999,-73.4081575",Steel,Psychic,,,FALSE,FALSE,FALSE,,,,
Deoxys (normal),386,08/09/2020,TRUE,,n/a,Mythical,"Naas, Co. Kildare, Ireland","53.2205654,-6.6593079",Psychic,,,,FALSE,FALSE,FALSE,,,TRUE,
Deoxys (normal),386,08/09/2020,TRUE,,n/a,Mythical,"Franklin Ward, Auckland, New Zealand","-36.9090769,174.6883572",Psychic,,,,FALSE,FALSE,FALSE,,,TRUE,
bulbasaur,1,08/10/2020,TRUE,,n/a,Starter,"Greenwich, CT","41.0262417,-73.6281964",Grass,Poison,,,FALSE,FALSE,FALSE,,,,
bronzor,436,08/11/2020,TRUE,,n/a,,"New Canaan, CT","41.146763,-73.4948445",Steel,Psychic,,,FALSE,FALSE,FALSE,,,,
yanmega,469,08/11/2020,TRUE,,n/a,,"Norwalk, CT","41.11774399999999,-73.4081575",Bug,Flying,,,TRUE,FALSE,FALSE,,,,
kabutops,141,08/11/2020,TRUE,,n/a,Fossil,"Norwalk, CT","41.11774399999999,-73.4081575",Rock,Water,,,TRUE,FALSE,FALSE,,,,
skarmory,227,08/11/2020,TRUE,,n/a,,"Norwalk, CT","41.11774399999999,-73.4081575",Steel,Flying,,,FALSE,FALSE,FALSE,,,,
sentret,161,08/12/2020,TRUE,,n/a,,"Norwalk, CT","41.11774399999999,-73.4081575",Normal,,,,FALSE,FALSE,FALSE,,,,
baltoy,343,08/13/2020,TRUE,,n/a,,"New Canaan, CT","41.146763,-73.4948445",Ground,Psychic,,,FALSE,FALSE,FALSE,,,,
Marowak (alolan),105.1,08/16/2020,TRUE,,n/a,Alolan Form,"New Canaan, CT","41.146763,-73.4948445",Fire,Ghost,,,TRUE,FALSE,FALSE,,,,
tentacruel,73,08/16/2020,TRUE,,n/a,,"New Canaan, CT","41.146763,-73.4948445",Water,Poison,,,TRUE,FALSE,FALSE,,,,
marill,183,08/16/2020,TRUE,,n/a,,"New Canaan, CT","41.146763,-73.4948445",Water,Fairy,,,FALSE,FALSE,FALSE,,,,
feebas,349,08/16/2020,TRUE,,n/a,,"New Canaan, CT","41.146763,-73.4948445",Water,,,,FALSE,FALSE,FALSE,,,,
woobat,527,08/16/2020,TRUE,,n/a,,"New Canaan, CT","41.146763,-73.4948445",Psychic,Flying,,,FALSE,FALSE,FALSE,,,,
genesect,649,08/16/2020,TRUE,,n/a,Mythical,"Frisco, Texas","33.1506744,-96.82361159999999",Bug,Steel,,,FALSE,FALSE,FALSE,,,TRUE,
genesect,649,08/17/2020,TRUE,,n/a,Mythical,"Lubeck, Schleswig-Holstein Germany","53.8654673,10.6865593",Bug,Steel,,,FALSE,FALSE,FALSE,,,TRUE,
swablu,333,08/18/2020,TRUE,,n/a,,"Norwalk, CT","41.11774399999999,-73.4081575",Normal,Flying,,,FALSE,FALSE,FALSE,,,,
linoone,264,08/22/2020,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Normal,,,,TRUE,FALSE,FALSE,,,,
pidove,519,08/22/2020,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Normal,Flying,,,FALSE,FALSE,FALSE,,,,
omanyte,138,09/01/2020,TRUE,,n/a,Fossil,"Clinton, NY","43.0484029,-75.3785034",Rock,Water,,,FALSE,FALSE,FALSE,,,,
heatran,485,09/06/2020,TRUE,,n/a,Sub-Legendary,"Gravatai, RS, Brazil","-29.93988689999999,-50.99475289999999",Fire,Steel,,,FALSE,FALSE,FALSE,,,TRUE,
